district,date,actual_rainfall,predicted_rainfall
Wayanad,8/14/2018,Orange,Red
Wayanad,8/15/2018,Red,Red
Wayanad,8/16/2018,Orange,Red
Wayanad,8/17/2018,Orange,Red
Wayanad,8/18/2018,Yellow,Yellow
Wayanad,8/19/2018,Green,Yellow
Wayanad,8/20/2018,Green,Green
Wayanad,8/21/2018,Green,Green
Wayanad,8/22/2018,Green,Green
Wayanad,8/8/2018,Red,Orange
Wayanad,8/9/2018,Red,Yellow
